journal,issn,cas_partition,quality_tier,source,note
Organogenesis,1547-6278,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.3; eissn=1555-8592; url=https://www.iikx.com/sci/biology/18200.html
PERSOONIA,0031-5850,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=9.5; eissn=N/A; url=https://www.iikx.com/sci/biology/16163.html
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,0048-3575,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.8; eissn=1095-9939; url=https://www.iikx.com/sci/biology/16170.html
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.3; eissn=1471-2970; url=https://www.iikx.com/sci/biology/16209.html
PHYSIOLOGIA PLANTARUM,0031-9317,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.0; eissn=1399-3054; url=https://www.iikx.com/sci/biology/16285.html
PHYTOCHEMISTRY REVIEWS,1568-7767,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=6.3; eissn=1572-980X; url=https://www.iikx.com/sci/biology/16299.html
PLANT AND CELL PHYSIOLOGY,0032-0781,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.7; eissn=1471-9053; url=https://www.iikx.com/sci/biology/16314.html
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=12.8; eissn=1467-7652; url=https://www.iikx.com/sci/biology/16320.html
PLANT CELL,1040-4651,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=13.5; eissn=1532-298X; url=https://www.iikx.com/sci/biology/16323.html
PLANT CELL AND ENVIRONMENT,0140-7791,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=6.9; eissn=1365-3040; url=https://www.iikx.com/sci/biology/16324.html
PLANT CELL REPORTS,0721-7714,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=5.3; eissn=1432-203X; url=https://www.iikx.com/sci/biology/16325.html
PLANT GROWTH REGULATION,0167-6903,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.0; eissn=1573-5087; url=https://www.iikx.com/sci/biology/16333.html
PLANT JOURNAL,0960-7412,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=6.2; eissn=1365-313X; url=https://www.iikx.com/sci/biology/16334.html
PLANT PHYSIOLOGY,0032-0889,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=8.2; eissn=1532-2548; url=https://www.iikx.com/sci/biology/16341.html
PLANT PHYSIOLOGY AND BIOCHEMISTRY,0981-9428,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=6.2; eissn=1873-2690; url=https://www.iikx.com/sci/biology/16342.html
PLANT SCIENCE,0168-9452,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.6; eissn=1873-2259; url=https://www.iikx.com/sci/biology/16344.html
PLANTA,0032-0935,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.4; eissn=1432-2048; url=https://www.iikx.com/sci/biology/16348.html
PLOS BIOLOGY,1544-9173,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.9; eissn=1545-7885; url=https://www.iikx.com/sci/biology/18487.html
PLoS Computational Biology,1553-734X,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=3.7; eissn=1553-7358; url=https://www.iikx.com/sci/biology/16365.html
PLoS Pathogens,1553-7366,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=4.9; eissn=1553-7374; url=https://www.iikx.com/sci/biology/16369.html
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.6; eissn=1471-2954; url=https://www.iikx.com/sci/biology/16487.html
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,0079-6107,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.5; eissn=1873-1732; url=https://www.iikx.com/sci/biology/16509.html
PROGRESS IN LIPID RESEARCH,0163-7827,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=18.1; eissn=1873-2194; url=https://www.iikx.com/sci/biology/16518.html
PROTEIN SCIENCE,0961-8368,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.6; eissn=1469-896X; url=https://www.iikx.com/sci/biology/16555.html
Physics of Life Reviews,1571-0645,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=11.8; eissn=1873-1457; url=https://www.iikx.com/sci/biology/16270.html
Pigment Cell & Melanoma Research,1755-1471,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.5; eissn=1755-148X; url=https://www.iikx.com/sci/biology/34598.html
Plant Communications,2590-3462,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=13.7; eissn=2590-3462; url=https://www.iikx.com/sci/biology/39923.html
Plant Diversity,2096-2703,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=5.9; eissn=2468-2659; url=https://www.iikx.com/sci/biology/36046.html
Plant Genome,N/A,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=4.3; eissn=1940-3372; url=https://www.iikx.com/sci/biology/18486.html
Plant Methods,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=5.2; eissn=1746-4811; url=https://www.iikx.com/sci/biology/16335.html
Plant Phenomics,2643-6515,Q1,,iikx biology api,CAS biology class; subclass=农艺学; IF2024=8.2; eissn=2643-6515; url=https://www.iikx.com/sci/biology/23124.html
Plant Signaling & Behavior,1559-2316,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.1; eissn=1559-2324; url=https://www.iikx.com/sci/biology/37390.html
Plants-Basel,2223-7747,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.7; eissn=2223-7747; url=https://www.iikx.com/sci/biology/34011.html
Probiotics and Antimicrobial Proteins,1867-1306,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=5.3; eissn=1867-1314; url=https://www.iikx.com/sci/biology/19323.html
Protein & Cell,1674-800X,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=18.2; eissn=1674-8018; url=https://www.iikx.com/sci/biology/18499.html
QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835,Q1,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=6.1; eissn=1469-8994; url=https://www.iikx.com/sci/biology/16640.html
REDOX REPORT,1351-0002,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.9; eissn=1743-2928; url=https://www.iikx.com/sci/biology/16691.html
REPRODUCTION FERTILITY AND DEVELOPMENT,1031-3613,Q1,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=2.3; eissn=1448-5990; url=https://www.iikx.com/sci/biology/16715.html
Redox Biology,2213-2317,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=16.2; eissn=2213-2317; url=https://www.iikx.com/sci/biology/19326.html
Regional Studies in Marine Science,2352-4855,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.7; eissn=2352-4855; url=https://www.iikx.com/sci/biology/19693.html
Rhizosphere,N/A,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=3.9; eissn=2452-2198; url=https://www.iikx.com/sci/biology/35915.html
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,1319-562X,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/18831.html
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,1084-9521,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=6.7; eissn=1096-3634; url=https://www.iikx.com/sci/biology/17014.html
STRUCTURE,0969-2126,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.6; eissn=1878-4186; url=https://www.iikx.com/sci/biology/17236.html
STUDIES IN MYCOLOGY,0166-0616,Q1,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=18.3; eissn=1872-9797; url=https://www.iikx.com/sci/biology/17248.html
SYSTEMATIC BIOLOGY,1063-5157,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=6.2; eissn=1076-836X; url=https://www.iikx.com/sci/biology/17299.html
SYSTEMATIC ENTOMOLOGY,0307-6970,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=4.3; eissn=1365-3113; url=https://www.iikx.com/sci/biology/17301.html
Science China-Life Sciences,1674-7305,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=9.6; eissn=1869-1889; url=https://www.iikx.com/sci/biology/16973.html
Science Signaling,1945-0877,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.0; eissn=1937-9145; url=https://www.iikx.com/sci/biology/18835.html
Science Translational Medicine,1946-6234,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=15.6; eissn=1946-6242; url=https://www.iikx.com/sci/biology/16982.html
Scientifica,2090-908X,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.6; eissn=2090-908X; url=https://www.iikx.com/sci/biology/32899.html
Sensors and Actuators Reports,2666-0539,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.9; eissn=2666-0539; url=https://www.iikx.com/sci/biology/28890.html
Synthetic Biology,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.7; eissn=2397-7000; url=https://www.iikx.com/sci/biology/36266.html
THEORETICAL AND APPLIED GENETICS,0040-5752,Q1,,iikx biology api,CAS biology class; subclass=农艺学; IF2024=4.1; eissn=1432-2242; url=https://www.iikx.com/sci/biology/17351.html
TISSUE & CELL,0040-8166,Q1,,iikx biology api,CAS biology class; subclass=解剖学与形态学; IF2024=3.1; eissn=N/A; url=https://www.iikx.com/sci/biology/17384.html
TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=14.4; eissn=1362-4326; url=https://www.iikx.com/sci/biology/17472.html
TRENDS IN CELL BIOLOGY,0962-8924,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=25.3; eissn=1879-3088; url=https://www.iikx.com/sci/biology/17475.html
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=17.9; eissn=1872-8383; url=https://www.iikx.com/sci/biology/17477.html
TRENDS IN GENETICS,0168-9525,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=12.9; eissn=1362-4555; url=https://www.iikx.com/sci/biology/17480.html
TRENDS IN MICROBIOLOGY,0966-842X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=18.7; eissn=1878-4380; url=https://www.iikx.com/sci/biology/17483.html
TRENDS IN PARASITOLOGY,1471-4922,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=7.6; eissn=1471-5007; url=https://www.iikx.com/sci/biology/35645.html
TRENDS IN PLANT SCIENCE,1360-1385,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=21.2; eissn=1878-4372; url=https://www.iikx.com/sci/biology/17487.html
VEGETATION HISTORY AND ARCHAEOBOTANY,0939-6314,Q1,,iikx biology api,CAS biology class; subclass=古生物学; IF2024=2.5; eissn=1617-6278; url=https://www.iikx.com/sci/biology/17568.html
Vertebrate Zoology,1864-5755,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=3.2; eissn=N/A; url=https://www.iikx.com/sci/biology/18537.html
Virulence,2150-5594,Q1,,iikx biology api,CAS biology class; subclass=免疫学; IF2024=6.8; eissn=2150-5608; url=https://www.iikx.com/sci/biology/18255.html
WILDLIFE BIOLOGY,0909-6396,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.1; eissn=1903-220X; url=https://www.iikx.com/sci/biology/17660.html
WILDLIFE MONOGRAPHS,0084-0173,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.0; eissn=1938-5455; url=https://www.iikx.com/sci/biology/17661.html
Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,Q1,,iikx biology api,CAS biology class; subclass=化学综合; IF2024=10.9; eissn=1759-0884; url=https://www.iikx.com/sci/biology/18258.html
ZOOLOGICA SCRIPTA,0300-3256,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=2.0; eissn=1463-6409; url=https://www.iikx.com/sci/biology/17742.html
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4082,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=3.0; eissn=1096-3642; url=https://www.iikx.com/sci/biology/17743.html
ZOOLOGICAL RESEARCH,2095-8137,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=5.6; eissn=2095-8137; url=https://www.iikx.com/sci/biology/23121.html
Zoologia,1984-4689,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.1; eissn=1984-4689; url=https://www.iikx.com/sci/biology/19490.html
Zoological Letters,2056-306X,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.8; eissn=2056-306X; url=https://www.iikx.com/sci/other/19606.html
eFood,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.7; eissn=2666-3066; url=https://www.iikx.com/sci/biology/71942.html
in silico Plants,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.3; eissn=2517-5025; url=https://www.iikx.com/sci/biology/31813.html
mBio,N/A,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=5.4; eissn=2150-7511; url=https://www.iikx.com/sci/biology/17906.html
npj Biofilms and Microbiomes,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=11.4; eissn=2055-5008; url=https://www.iikx.com/sci/biology/19573.html
npj Genomic Medicine,N/A,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=5.3; eissn=2056-7944; url=https://www.iikx.com/sci/other/19584.html
npj Systems Biology and Applications,N/A,Q1,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=4.4; eissn=2056-7189; url=https://www.iikx.com/sci/biology/33998.html
ACS Chemical Biology,1554-8929,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.6; eissn=1554-8937; url=https://www.iikx.com/sci/biology/9711.html
ACTA CHIROPTEROLOGICA,1508-1109,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.5; eissn=; url=https://www.iikx.com/sci/biology/9742.html
ACTA ETHOLOGICA,0873-9749,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=1.3; eissn=1437-9546; url=https://www.iikx.com/sci/biology/9762.html
ACTA ORNITHOLOGICA,0001-6454,Q2,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.2; eissn=1734-8471; url=https://www.iikx.com/sci/biology/9809.html
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.3; eissn=1861-1664; url=https://www.iikx.com/sci/biology/9829.html
ADDICTION BIOLOGY,1355-6215,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.6; eissn=1369-1600; url=https://www.iikx.com/sci/biology/9864.html
AMERICAN JOURNAL OF BOTANY,0002-9122,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.8; eissn=1537-2197; url=https://www.iikx.com/sci/biology/10062.html
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.7; eissn=1098-2345; url=https://www.iikx.com/sci/biology/10124.html
AMPHIBIA-REPTILIA,0173-5373,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.3; eissn=1568-5381; url=https://www.iikx.com/sci/biology/10153.html
ANALYTICAL BIOCHEMISTRY,0003-2697,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=3.1; eissn=1096-0309; url=https://www.iikx.com/sci/biology/10179.html
ANIMAL GENETICS,0268-9146,Q2,,iikx biology api,CAS biology class; subclass=奶制品与动物科学; IF2024=2.2; eissn=1365-2052; url=https://www.iikx.com/sci/biology/10208.html
ANNALS OF APPLIED BIOLOGY,0003-4746,Q2,,iikx biology api,CAS biology class; subclass=农业综合; IF2024=2.1; eissn=1744-7348; url=https://www.iikx.com/sci/biology/10253.html
APIDOLOGIE,0044-8435,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.7; eissn=1297-9678; url=https://www.iikx.com/sci/biology/10365.html
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,0099-2240,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=4.2; eissn=1098-5336; url=https://www.iikx.com/sci/biology/10375.html
AQUATIC BOTANY,0304-3770,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=2.3; eissn=1879-1522; url=https://www.iikx.com/sci/biology/10432.html
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,0003-9861,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.5; eissn=1096-0384; url=https://www.iikx.com/sci/biology/10475.html
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,0739-4462,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.0; eissn=1520-6327; url=https://www.iikx.com/sci/biology/10496.html
ARDEA,0373-2266,Q2,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.2; eissn=2213-1175; url=https://www.iikx.com/sci/biology/10530.html
ARTHROPOD STRUCTURE & DEVELOPMENT,1467-8039,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.4; eissn=1873-5495; url=https://www.iikx.com/sci/biology/10545.html
ASTROBIOLOGY,1531-1074,Q2,,iikx biology api,CAS biology class; subclass=天文与天体物理; IF2024=2.3; eissn=1557-8070; url=https://www.iikx.com/sci/biology/10584.html
AUSTRALIAN MAMMALOGY,0310-0049,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.4; eissn=1836-7402; url=https://www.iikx.com/sci/biology/18907.html
Advances in Botanical Research,0065-2296,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/9894.html
Advances in Carbohydrate Chemistry and Biochemistry,0065-2318,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/9896.html
Advances in Genetics,0065-2660,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/9916.html
Advances in Microbial Physiology,0065-2911,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/9931.html
Advances in Protein Chemistry and Structural Biology,1876-1623,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=1876-1631; url=https://www.iikx.com/sci/biology/9943.html
Aging-US,1945-4589,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=3.9; eissn=; url=https://www.iikx.com/sci/biology/9987.html
Annals of Clinical Microbiology and Antimicrobials,N/A,Q2,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=5.2; eissn=1476-0711; url=https://www.iikx.com/sci/biology/18276.html
AoB Plants,2041-2851,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=3.1; eissn=2041-2851; url=https://www.iikx.com/sci/biology/18570.html
Applications in Plant Sciences,2168-0450,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=3.5; eissn=2168-0450; url=https://www.iikx.com/sci/biology/18898.html
Arthropod Systematics & Phylogeny,1863-7221,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.0; eissn=1864-8312; url=https://www.iikx.com/sci/biology/18579.html
Arthropod-Plant Interactions,1872-8855,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.7; eissn=1872-8847; url=https://www.iikx.com/sci/biology/10547.html
BEHAVIOR GENETICS,0001-8244,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.4; eissn=1573-3297; url=https://www.iikx.com/sci/biology/10698.html
BEHAVIOUR,0005-7959,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=1.3; eissn=1568-539X; url=https://www.iikx.com/sci/biology/10706.html
BEHAVIOURAL PROCESSES,0376-6357,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=1.6; eissn=1872-8308; url=https://www.iikx.com/sci/biology/10711.html
BIOCHEMICAL JOURNAL,0264-6021,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.9; eissn=1470-8728; url=https://www.iikx.com/sci/biology/10736.html
BIOCHEMICAL SOCIETY TRANSACTIONS,0300-5127,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.4; eissn=1470-8752; url=https://www.iikx.com/sci/biology/10739.html
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,0304-4165,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.9; eissn=1872-8006; url=https://www.iikx.com/sci/biology/10749.html
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,0167-4889,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.3; eissn=1879-2596; url=https://www.iikx.com/sci/biology/10752.html
BIOFOULING,0892-7014,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=2.5; eissn=1029-2454; url=https://www.iikx.com/sci/biology/10771.html
BIOLOGICAL TRACE ELEMENT RESEARCH,0163-4984,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.3; eissn=1559-0720; url=https://www.iikx.com/sci/biology/10801.html
BIOLOGY OF REPRODUCTION,0006-3363,Q2,,iikx biology api,CAS biology class; subclass=生殖生物学; IF2024=3.2; eissn=1529-7268; url=https://www.iikx.com/sci/biology/10811.html
BIOMETALS,0966-0844,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.0; eissn=1572-8773; url=https://www.iikx.com/sci/biology/10833.html
BIOMETRICS,0006-341X,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=1.6; eissn=1541-0420; url=https://www.iikx.com/sci/biology/10835.html
BIOPHYSICAL JOURNAL,0006-3495,Q2,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=3.7; eissn=1542-0086; url=https://www.iikx.com/sci/biology/10846.html
BIOPOLYMERS,0006-3525,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.9; eissn=1097-0282; url=https://www.iikx.com/sci/biology/10847.html
BIOSCIENCE REPORTS,0144-8463,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.5; eissn=1573-4935; url=https://www.iikx.com/sci/biology/10857.html
BIOSYSTEMS,0303-2647,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.1; eissn=1872-8324; url=https://www.iikx.com/sci/biology/10860.html
BIRD STUDY,0006-3657,Q2,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.3; eissn=1944-6705; url=https://www.iikx.com/sci/biology/10880.html
BMB Reports,1976-6696,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.1; eissn=1976-670X; url=https://www.iikx.com/sci/biology/10896.html
BMC BIOCHEMISTRY,1471-2091,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/10897.html
BMC EVOLUTIONARY BIOLOGY,1471-2148,Q2,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/10906.html
BMC Ecology and Evolution,N/A,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=2.7; eissn=2730-7182; url=https://www.iikx.com/sci/biology/30283.html
BMC GENOMICS,1471-2164,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.9; eissn=1471-2164; url=https://www.iikx.com/sci/biology/10910.html
BMC MOLECULAR BIOLOGY,1471-2199,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/10921.html
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.1; eissn=1095-8339; url=https://www.iikx.com/sci/biology/10951.html
BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.7; eissn=1475-2670; url=https://www.iikx.com/sci/biology/11046.html
BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.3; eissn=1522-9602; url=https://www.iikx.com/sci/biology/11053.html
Bio-Algorithms and Med-Systems,1895-9091,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=2.5; eissn=1896-530X; url=https://www.iikx.com/sci/biology/28827.html
BioTech,N/A,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=3.6; eissn=2673-6284; url=https://www.iikx.com/sci/biology/70486.html
Biocatalysis and Agricultural Biotechnology,N/A,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=4.6; eissn=1878-8181; url=https://www.iikx.com/sci/biology/26178.html
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,1874-9399,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.6; eissn=1876-4320; url=https://www.iikx.com/sci/biology/10748.html
Biofuels Bioproducts & Biorefining-Biofpr,1932-104X,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.8; eissn=1932-1031; url=https://www.iikx.com/sci/biology/10772.html
Biologia Futura,2676-8615,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.1; eissn=2676-8607; url=https://www.iikx.com/sci/biology/21248.html
Biology Letters,1744-9561,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.7; eissn=1744-957X; url=https://www.iikx.com/sci/biology/10809.html
Biomicrofluidics,N/A,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=2.7; eissn=1932-1058; url=https://www.iikx.com/sci/biology/10837.html
Biotechnology Journal,1860-6768,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=3.7; eissn=1860-7314; url=https://www.iikx.com/sci/biology/10872.html
Botanical Studies,N/A,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=3.3; eissn=1999-3110; url=https://www.iikx.com/sci/biology/10953.html
Briefings in Functional Genomics,2041-2649,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.2; eissn=2041-2657; url=https://www.iikx.com/sci/biology/10996.html
CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,Q2,,iikx biology api,CAS biology class; subclass=农艺学; IF2024=1.7; eissn=1918-1833; url=https://www.iikx.com/sci/biology/11129.html
CANADIAN JOURNAL OF ZOOLOGY,0008-4301,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.4; eissn=1480-3283; url=https://www.iikx.com/sci/biology/11138.html
